"","Taxonomy","Order","Family","Genus","Species","Common_name","FishBase"
"Sardinella_aurita","Sardinella_aurita","Clupeifrom","Clupeidae","Sardinella","aurita","allache / sardinelle rose","https://www.fishbase.de/summary/Sardinella-aurita"
"Labrus_merula","Labrus_merula","Labridae","Labridae","Labrus","merula","labre vert / merle","https://www.fishbase.de/summary/Labrus-merula"
"Liza_saliens or Liza_aurata","Liza_saliens or Liza_aurata","Mugiliform","Mugilidae","Liza","saliens or Liza","mulet ou muge sauteur /","https://www.fishbase.de/summary/Liza-saliens or Liza-aurata"
"Brotula_barbata","Brotula_barbata","Ophidiiformes","Ophidiidae","Brotula","barbata","mostelle / brotule barbée","https://www.fishbase.de/summary/Brotula-barbata"
"Parablennius_pilicornis","Parablennius_pilicornis","Perciform","Blenniidae","Parablennius","pilicornis","blénnie pilicorne","https://www.fishbase.de/summary/Parablennius-pilicornis"
"Parablennius_gattorugine","Parablennius_gattorugine","Perciform","Blenniidae","Parablennius","gattorugine","blénnie gattorubine / cabot / baveuse","https://www.fishbase.de/summary/Parablennius-gattorugine"
"Trachurus_mediterraneus","Trachurus_mediterraneus","Perciform","Carangidae","Trachurus","mediterraneus","Chinchard àqueue jaune / saurel / severeau","https://www.fishbase.de/summary/Trachurus-mediterraneus"
"Plectorhinchus_mediterraneus","Plectorhinchus_mediterraneus","Perciform","Haemulidae","Plectorhinchus","mediterraneus","dorade grise / gaterin de Med / diagramme gris","https://www.fishbase.de/summary/Plectorhinchus-mediterraneus"
"Coris_julis","Coris_julis","Perciform","Labridae","Coris","julis","girelle","https://www.fishbase.de/summary/Coris-julis"
"Ctenolabrus_rupestris","Ctenolabrus_rupestris","Perciform","Labridae","Ctenolabrus","rupestris","ctenilabre / rouquié","https://www.fishbase.de/summary/Ctenolabrus-rupestris"
"Symphodus_cinereus","Symphodus_cinereus","Perciform","Labridae","Symphodus","cinereus","rouquié / crénilabre cendré","https://www.fishbase.de/summary/Symphodus-cinereus"
"Symphodus_tinca","Symphodus_tinca","Perciform","Labridae","Symphodus","tinca","crénilabre pan / crénilabre tanche","https://www.fishbase.de/summary/Symphodus-tinca"
"Mullus_surmuletus","Mullus_surmuletus","Perciform","Mullidae","Mullus","surmuletus","rouget barbet","https://www.fishbase.de/summary/Mullus-surmuletus"
"Chromis_chromis","Chromis_chromis","Perciform","Pomacentridae","Chromis","chromis","castagnole","https://www.fishbase.de/summary/Chromis-chromis"
"Scomber_scombrus","Scomber_scombrus","Perciform","Scombridae","Scomber","scombrus","maquereau","https://www.fishbase.de/summary/Scomber-scombrus"
"Serranus_cabrilla","Serranus_cabrilla","Perciform","Serranidae","Serranus","cabrilla","serran commun / saran / serran chèvre","https://www.fishbase.de/summary/Serranus-cabrilla"
"Serranus_scriba","Serranus_scriba","Perciform","Serranidae","Serranus","scriba","serran écriture / perche","https://www.fishbase.de/summary/Serranus-scriba"
"Siganus_luridus","Siganus_luridus","Perciform","Siganidae","Siganus","luridus","Poisson-lapin à queue tronquée","https://www.fishbase.de/summary/Siganus-luridus"
"Siganus_rivulatus","Siganus_rivulatus","Perciform","Siganidae","Siganus","rivulatus","Poisson-lapin à ventre strié","https://www.fishbase.de/summary/Siganus-rivulatus"
"Boops_boops","Boops_boops","Perciform","Sparidae","Boops","boops","bogue","https://www.fishbase.de/summary/Boops-boops"
"Diplodus_annularis","Diplodus_annularis","Perciform","Sparidae","Diplodus","annularis","sparaillon","https://www.fishbase.de/summary/Diplodus-annularis"
"Diplodus_puntazzo","Diplodus_puntazzo","Perciform","Sparidae","Diplodus","puntazzo","sar à museau pointu / sar tambour / sar pointu","https://www.fishbase.de/summary/Diplodus-puntazzo"
"Diplodus_sargus","Diplodus_sargus","Perciform","Sparidae","Diplodus","sargus","sar commun","https://www.fishbase.de/summary/Diplodus-sargus"
"Diplodus_vulgaris","Diplodus_vulgaris","Perciform","Sparidae","Diplodus","vulgaris","sar à tête noire","https://www.fishbase.de/summary/Diplodus-vulgaris"
"Oblada_melanura","Oblada_melanura","Perciform","Sparidae","Oblada","melanura","oblade","https://www.fishbase.de/summary/Oblada-melanura"
"Pagellus_erythrinus","Pagellus_erythrinus","Perciform","Sparidae","Pagellus","erythrinus","pageot","https://www.fishbase.de/summary/Pagellus-erythrinus"
"Pagrus_pagrus","Pagrus_pagrus","Perciform","Sparidae","Pagrus","pagrus","pagre rouge","https://www.fishbase.de/summary/Pagrus-pagrus"
"Sarpa_salpa","Sarpa_salpa","Perciform","Sparidae","Sarpa","salpa","saupe","https://www.fishbase.de/summary/Sarpa-salpa"
"Sparus_aurata","Sparus_aurata","Perciform","Sparidae","Sparus","aurata","daurade","https://www.fishbase.de/summary/Sparus-aurata"
"Spicara_smaris","Spicara_smaris","Perciform","Sparidae","Spicara","smaris","jarret / picarel","https://www.fishbase.de/summary/Spicara-smaris"
"Tripterygion_delaisi","Tripterygion_delaisi","Perciform","Tripterigiidae","Tripterygion","delaisi","Triptérion jaune","https://www.fishbase.de/summary/Tripterygion-delaisi"
"Scorpaena_notata","Scorpaena_notata","Scorpaeniform","Scorpaenidae","Scorpaena","notata","petite rascasse rouge","https://www.fishbase.de/summary/Scorpaena-notata"
"Scorpaena_porcus","Scorpaena_porcus","Scorpaeniform","Scorpaenidae","Scorpaena","porcus","rascasse brune","https://www.fishbase.de/summary/Scorpaena-porcus"
"Scorpaena_scrofa","Scorpaena_scrofa","Scorpaeniform","Scorpaenidae","Scorpaena","scrofa","rascasse rouge","https://www.fishbase.de/summary/Scorpaena-scrofa"
"Syngnathus_tenuirostris","Syngnathus_tenuirostris","Syngnathiformes","Syngnathidae","Syngnathus","tenuirostris","Syngnathe a long museau","https://www.fishbase.de/summary/Syngnathus-tenuirostris"
